               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.077397,            0.025652,            0.023128,          0.00053624,              0.1456,          0.00033851,          4.7868e-05,            0.065152,           0.0085975,            0.017023,            0.000971,            0.000971,            0.091071
                 100,              0.0755,            0.026733,            0.021465,          0.00054192,              0.1456,          0.00037699,           5.294e-05,            0.065181,           0.0085938,             0.01702,          0.00098042,          0.00098042,             0.09098
                 101,            0.078665,             0.02327,            0.020378,          0.00053148,              0.1456,          0.00036924,          5.1516e-05,            0.065064,           0.0086107,            0.017007,          0.00098983,          0.00098983,             0.09089
                 102,            0.080997,            0.023967,            0.021476,             0.50044,             0.10714,          0.00025861,          4.0203e-05,            0.064951,           0.0086104,            0.016982,          0.00099923,          0.00099923,            0.090799
                 103,            0.081642,            0.022503,            0.020255,          0.00052048,              0.1456,          0.00035164,          4.2089e-05,            0.064712,           0.0086276,            0.016948,           0.0010086,           0.0010086,            0.090709
                 104,             0.08155,             0.02511,            0.021714,          0.00052182,              0.1456,          0.00035396,          4.2383e-05,            0.064758,            0.008613,            0.016924,            0.001018,            0.001018,            0.090618
                 105,            0.079216,            0.025388,            0.021015,          0.00041231,             0.10714,          0.00025514,          4.1049e-05,            0.064555,           0.0086328,            0.016855,           0.0010274,           0.0010274,            0.090527
                 106,            0.076892,            0.025137,             0.02057,          0.00031928,            0.071429,          0.00016307,          3.2614e-05,            0.064436,           0.0086436,             0.01683,           0.0010367,           0.0010367,            0.090437
                 107,            0.078338,            0.023512,            0.023518,          0.00036231,            0.071429,           0.0001981,          2.8052e-05,            0.063831,           0.0087165,            0.016847,            0.001046,            0.001046,            0.090346
                 108,            0.079576,            0.023705,            0.020855,          0.00037936,            0.071429,          0.00021126,          2.1126e-05,            0.063609,           0.0087455,            0.016793,           0.0010554,           0.0010554,            0.090255
                 109,            0.078373,            0.023896,            0.021138,             0.50024,            0.035714,          0.00012004,          1.2004e-05,            0.063172,           0.0087982,            0.016786,           0.0010647,           0.0010647,            0.090165
                 110,            0.076945,            0.026556,            0.020608,             0.50024,            0.035714,           0.0001343,           1.343e-05,            0.063098,           0.0088149,            0.016765,            0.001074,            0.001074,            0.090074
                 111,             0.08041,            0.023225,            0.021648,             0.50024,            0.035714,          0.00013294,          1.3294e-05,            0.062808,           0.0088538,            0.016733,           0.0010833,           0.0010833,            0.089983
                 112,            0.078938,            0.024954,            0.021101,          0.00027829,            0.074176,          0.00019823,          1.9823e-05,            0.062503,           0.0088957,            0.016671,           0.0010926,           0.0010926,            0.089893
                 113,            0.077503,            0.023361,            0.021495,          0.00040718,             0.10989,          0.00028589,          2.8589e-05,            0.062153,           0.0089412,             0.01667,           0.0011018,           0.0011018,            0.089802
                 114,            0.077558,            0.023276,            0.018204,          0.00040595,             0.10989,           0.0002673,           2.673e-05,            0.062235,           0.0089352,            0.016694,           0.0011111,           0.0011111,            0.089711
                 115,            0.073886,            0.022861,            0.021108,           0.0008102,             0.21978,          0.00059666,          5.9666e-05,            0.062639,            0.008904,            0.016749,           0.0011203,           0.0011203,             0.08962
                 116,            0.081328,            0.024144,            0.020727,          0.00081054,             0.21978,          0.00059068,          7.3677e-05,            0.063125,           0.0088458,            0.016863,           0.0011295,           0.0011295,             0.08953
                 117,            0.074424,            0.024249,            0.021956,          0.00069524,             0.18407,          0.00052723,          5.2723e-05,            0.063643,           0.0087833,            0.016999,           0.0011387,           0.0011387,            0.089439
                 118,             0.07889,            0.024003,            0.021326,             0.50079,            0.035714,          0.00050376,          5.0376e-05,            0.063614,           0.0087882,            0.016994,           0.0011479,           0.0011479,            0.089348
                 119,            0.074856,            0.021976,            0.018743,          0.00056222,             0.14835,          0.00044604,          4.4604e-05,             0.06348,           0.0087952,            0.016952,           0.0011571,           0.0011571,            0.089257
                 120,            0.074703,            0.024284,             0.01963,             0.50126,            0.035714,           0.0004341,           4.341e-05,            0.063419,           0.0087825,            0.016858,           0.0011663,           0.0011663,            0.089166
                 121,            0.074446,            0.023263,            0.018005,             0.50072,            0.035714,          0.00059483,          5.9483e-05,            0.063451,           0.0087699,            0.016948,           0.0011754,           0.0011754,            0.089075
                 122,             0.07685,            0.023518,            0.020864,             0.50054,            0.035714,          0.00045277,          4.5277e-05,            0.062792,           0.0088285,            0.016806,           0.0011846,           0.0011846,            0.088985
                 123,            0.074574,            0.024905,            0.020514,             0.50081,            0.071429,          0.00050763,          6.8286e-05,            0.061404,           0.0089744,            0.016316,           0.0011937,           0.0011937,            0.088894
                 124,            0.077559,            0.024035,            0.018639,           0.0011641,              0.3022,           0.0010607,          0.00010607,            0.059915,           0.0091101,            0.015522,           0.0012028,           0.0012028,            0.088803
                 125,            0.077914,            0.022158,            0.016724,           0.0015802,             0.42033,           0.0019969,          0.00019969,            0.058556,            0.009255,            0.014726,           0.0012119,           0.0012119,            0.088712
                 126,            0.078399,            0.024029,            0.019033,           0.0016081,             0.41758,           0.0019532,          0.00019532,              0.0587,           0.0092397,            0.014935,            0.001221,            0.001221,            0.088621
                 127,            0.071437,            0.025592,            0.017317,           0.0024143,             0.45604,           0.0019802,          0.00019802,            0.058324,           0.0093017,            0.014299,           0.0012301,           0.0012301,             0.08853
                 128,            0.076128,            0.022055,            0.019254,           0.0021837,             0.45604,           0.0020191,          0.00022538,            0.057698,           0.0094006,            0.013829,           0.0012392,           0.0012392,            0.088439
                 129,            0.074415,            0.025598,            0.018796,           0.0026831,             0.52747,           0.0024239,           0.0002607,            0.057399,           0.0094223,            0.013931,           0.0012482,           0.0012482,            0.088348
                 130,            0.075213,            0.023603,            0.018515,           0.0023647,             0.45604,           0.0020816,          0.00022621,            0.056845,           0.0094678,            0.013849,           0.0012572,           0.0012572,            0.088257
                 131,             0.07833,            0.023274,            0.021018,           0.0017704,             0.41758,           0.0018234,          0.00021071,            0.057962,           0.0093427,            0.014957,           0.0012662,           0.0012662,            0.088166
                 132,            0.075125,            0.025749,            0.018406,           0.0015186,             0.34066,           0.0012161,          0.00014708,            0.058796,            0.009264,            0.015297,           0.0012752,           0.0012752,            0.088075
                 133,            0.077949,            0.020997,            0.017184,           0.0011461,             0.26099,           0.0010053,          0.00010053,            0.059212,           0.0092375,            0.015629,           0.0012842,           0.0012842,            0.087984
                 134,            0.076734,            0.025074,            0.019064,           0.0025267,              0.4533,            0.002109,           0.0002109,            0.057392,           0.0094058,            0.014458,           0.0012932,           0.0012932,            0.087893
                 135,            0.072873,            0.023624,            0.015849,              0.9854,             0.42308,             0.42308,            0.044077,             0.05467,            0.009708,            0.010725,           0.0013022,           0.0013022,            0.087802
                 136,            0.076976,            0.025998,            0.021569,             0.99633,             0.42308,             0.42298,            0.077088,            0.055207,           0.0096709,            0.010236,           0.0013111,           0.0013111,            0.087711
                 137,            0.078946,            0.023777,             0.01718,             0.99527,             0.42308,               0.423,            0.084986,            0.055401,           0.0096585,           0.0099163,             0.00132,             0.00132,             0.08762
                 138,            0.078975,            0.022644,            0.017532,             0.99319,             0.42308,             0.42323,            0.044233,            0.054599,           0.0097046,            0.010583,           0.0013289,           0.0013289,            0.087529
                 139,            0.079809,            0.024434,            0.019071,                   1,             0.42295,              0.4231,            0.084352,            0.054507,           0.0097178,           0.0094041,           0.0013378,           0.0013378,            0.087438
                 140,            0.077487,            0.024062,            0.019104,             0.75946,             0.29106,             0.28237,            0.069067,            0.060793,           0.0096432,            0.011738,           0.0013467,           0.0013467,            0.087347
                 141,            0.074872,            0.024785,            0.019185,             0.82065,             0.27551,             0.34226,             0.10924,            0.060019,           0.0097759,            0.011657,           0.0013556,           0.0013556,            0.087256
                 142,            0.075493,            0.024247,            0.017008,             0.68084,             0.42308,             0.18627,            0.028885,            0.064287,           0.0098846,            0.013268,           0.0013644,           0.0013644,            0.087164
                 143,            0.076318,            0.024894,            0.016186,             0.75099,             0.42308,               0.325,            0.071691,            0.062162,           0.0094507,           0.0090389,           0.0013732,           0.0013732,            0.087073
                 144,            0.073962,            0.021272,            0.018686,             0.93129,             0.38462,             0.39967,             0.12415,            0.057058,           0.0097509,           0.0084429,           0.0013821,           0.0013821,            0.086982
                 145,            0.074527,            0.022885,            0.017839,             0.70434,             0.37251,             0.17739,            0.028143,            0.060521,           0.0098496,           0.0096829,           0.0013909,           0.0013909,            0.086891
                 146,            0.071345,            0.024767,             0.01576,             0.52908,             0.42308,            0.025522,           0.0042657,            0.061877,           0.0099113,           0.0098591,           0.0013996,           0.0013996,              0.0868
                 147,            0.075012,            0.024767,            0.018831,             0.61856,             0.38462,            0.095359,            0.013486,            0.061784,            0.010477,             0.01177,           0.0014084,           0.0014084,            0.086708
                 148,              0.0772,            0.023821,            0.018887,             0.63852,             0.38462,             0.17811,            0.023087,            0.063086,            0.011223,            0.015314,           0.0014172,           0.0014172,            0.086617
                 149,            0.074378,            0.024593,            0.017642,             0.89959,             0.42308,             0.41302,            0.056029,            0.065777,            0.011273,            0.015993,           0.0014259,           0.0014259,            0.086526
                 150,            0.076856,            0.023416,            0.016548,             0.73029,             0.23077,              0.2114,            0.034533,             0.05363,            0.010356,           0.0082071,           0.0014346,           0.0014346,            0.086435
                 151,            0.069392,            0.023924,            0.016218,             0.73636,             0.42308,             0.21257,            0.042508,            0.051487,             0.01027,           0.0074482,           0.0014433,           0.0014433,            0.086343
